Day,Close
22909,	2832.94
22908,	2822.48
22907,	2808.48
22906,	2810.92
22905,	2791.52
22904,	2783.30
22903,	2743.07
22902,	2748.93
22901,	2771.45
22900,	2789.65
22899,	2792.81
22898,	2803.69
22897,	2784.49
22896,	2792.38
22895,	2793.90
22894,	2796.11
22893,	2792.67
22892,	2774.88
22891,	2784.70
22890,	2779.76
22889,	2775.60
22888,	2745.73
22887,	2753.03
22886,	2744.73
22885,	2709.80
22884,	2707.88
22883,	2706.05
22882,	2731.61
22881,	2737.70
22880,	2724.87
22879,	2706.53
22878,	2704.10
22877,	2681.05
22876,	2640.00
22875,	2643.85
22874,	2664.76
22873,	2642.33
22872,	2638.70
22871,	2632.90
22870,	2670.71
22869,	2635.96
22868,	2616.10
22867,	2610.30
22866,	2582.61
22865,	2596.26
22864,	2596.64
22863,	2584.96
22862,	2574.41
22861,	2549.69
22860,	2531.94
22859,	2447.89
22858,	2510.03
22857,	2506.85
22856,	2485.74
22855,	2488.83
22854,	2467.70
22853,	2351.10
22852,	2416.62
22851,	2467.42
22850,	2506.96
22849,	2546.16
22848,	2545.94
22847,	2599.95
22846,	2650.54
22845,	2651.07
22844,	2636.78
22843,	2637.72
22842,	2633.08
22841,	2695.95
22840,	2700.06
22839,	2790.37
22838,	2760.17
22837,	2737.80
22836,	2743.79
22835,	2682.17
22834,	2673.45
22833,	2632.56
22832,	2649.93
22831,	2641.89
22830,	2690.73
22829,	2736.27
22828,	2730.20
22827,	2701.58
22826,	2722.18
22825,	2726.22
22824,	2781.01
22823,	2806.83
22822,	2813.89
22821,	2755.45
22820,	2738.31
22819,	2723.06
22818,	2740.37
22817,	2711.74
22816,	2682.63
22815,	2641.25
22814,	2658.69
22813,	2705.57
22812,	2656.10
22811,	2740.69
22810,	2755.88
22809,	2767.78
22808,	2768.78
22807,	2809.21
22806,	2809.92
22805,	2750.79
22804,	2767.13
22803,	2728.37
22802,	2785.68
22801,	2880.34
22800,	2884.43
22799,	2885.57
22798,	2901.61
22797,	2925.51
22796,	2923.43
22795,	2924.59
22794,	2913.98
22793,	2914.00
22792,	2905.97
22791,	2915.56
22790,	2919.37
22789,	2929.67
22788,	2930.75
22787,	2907.95
22786,	2904.31
22785,	2888.80
22784,	2904.98
22783,	2904.18
22782,	2888.92
22781,	2887.89
22780,	2877.13
22779,	2871.68
22778,	2878.05
22777,	2888.60
22776,	2896.72
22775,	2901.52
22774,	2901.13
22773,	2914.04
22772,	2897.52
22771,	2896.74
22770,	2874.69
22769,	2856.98
22768,	2861.82
22767,	2862.96
22766,	2857.05
22765,	2850.13
22764,	2840.69
22763,	2818.37
22762,	2839.96
22761,	2821.93
22760,	2833.28
22759,	2853.58
22758,	2857.70
22757,	2858.45
22756,	2850.40
22755,	2840.35
22754,	2827.22
22753,	2813.36
22752,	2816.29
22751,	2802.60
22750,	2818.82
22749,	2837.44
22748,	2846.07
22747,	2820.40
22746,	2806.98
22745,	2801.83
22744,	2804.49
22743,	2815.62
22742,	2809.55
22741,	2798.43
22740,	2801.31
22739,	2798.29
22738,	2774.02
22737,	2793.84
22736,	2784.17
22735,	2759.82
22734,	2736.61
22733,	2713.22
22732,	2726.71
22731,	2718.37
22730,	2716.31
22729,	2699.63
22728,	2723.06
22727,	2717.07
22726,	2754.88
22725,	2749.76
22724,	2767.32
22723,	2762.59
22722,	2773.75
22721,	2779.66
22720,	2782.49
22719,	2775.63
22718,	2786.85
22717,	2782.00
22716,	2779.03
22715,	2770.37
22714,	2772.35
22713,	2748.80
22712,	2746.87
22711,	2734.62
22710,	2705.27
22709,	2724.01
22708,	2689.86
22707,	2721.33
22706,	2727.76
22705,	2733.29
22704,	2724.44
22703,	2733.01
22702,	2712.97
22701,	2720.13
22700,	2722.46
22699,	2711.45
22698,	2730.13
22697,	2727.72
22696,	2723.07
22695,	2697.79
22694,	2671.92
22693,	2672.63
22692,	2663.42
22691,	2629.73
22690,	2635.67
22689,	2654.80
22688,	2648.05
22687,	2669.91
22686,	2666.94
22685,	2639.40
22684,	2634.56
22683,	2670.29
22682,	2670.14
22681,	2693.13
22680,	2708.64
22679,	2706.39
22678,	2677.84
22677,	2656.30
22676,	2663.99
22675,	2642.19
22674,	2656.87
22673,	2613.16
22672,	2604.47
22671,	2662.84
22670,	2644.69
22669,	2614.45
22668,	2581.88
22667,	2640.87
22666,	2605.00
22665,	2612.62
22664,	2658.55
22663,	2588.26
22662,	2643.69
22661,	2711.93
22660,	2716.94
22659,	2712.92
22658,	2752.01
22657,	2747.33
22656,	2749.48
22655,	2765.31
22654,	2783.02
22653,	2786.57
22652,	2738.97
22651,	2726.80
22650,	2728.12
22649,	2720.94
22648,	2691.25
22647,	2677.67
22646,	2713.83
22645,	2744.28
22644,	2779.60
22643,	2747.30
22642,	2703.96
22641,	2701.33
22640,	2716.26
22639,	2732.22
22638,	2731.20
22637,	2698.63
22636,	2662.94
22635,	2656.00
22634,	2619.55
22633,	2581.00
22632,	2681.66
22631,	2695.14
22630,	2648.94
22629,	2762.13
22628,	2821.98
22627,	2823.81
22626,	2822.43
22625,	2853.53
22624,	2872.87
22623,	2839.25
22622,	2837.54
22621,	2839.13
22620,	2832.97
22619,	2810.30
22618,	2798.03
22617,	2802.56
22616,	2776.42
22615,	2786.24
22614,	2767.56
22613,	2748.23
22612,	2751.29
22611,	2747.71
22610,	2743.15
22609,	2723.99
22608,	2713.06
22607,	2695.81
22606,	2673.61
22605,	2687.54
22604,	2682.62
22603,	2680.50
22602,	2683.34
22601,	2684.57
22600,	2679.25
22599,	2681.47
22598,	2690.16
22597,	2675.81
22596,	2652.01
22595,	2662.85
22594,	2664.11
22593,	2659.99
22592,	2651.50
22591,	2636.98
22590,	2629.27
22589,	2629.57
22588,	2639.44
22587,	2642.22
22586,	2647.58
22585,	2626.07
22584,	2627.04
22583,	2601.42
22582,	2602.42
22581,	2597.08
22580,	2599.03
22579,	2582.14
22578,	2578.85
22577,	2585.64
22576,	2564.62
22575,	2578.87
22574,	2584.84
22573,	2582.30
22572,	2584.62
22571,	2594.38
22570,	2590.64
22569,	2591.13
22568,	2587.84
22567,	2579.85
22566,	2579.36
22565,	2575.26
22564,	2572.83
22563,	2581.07
22562,	2560.40
22561,	2557.15
22560,	2569.13
22559,	2564.98
22558,	2575.21
22557,	2562.10
22556,	2561.26
22555,	2559.36
22554,	2557.64
22553,	2553.17
22552,	2550.93
22551,	2555.24
22550,	2550.64
22549,	2544.73
22548,	2549.33
22547,	2552.07
22546,	2537.74
22545,	2534.58
22544,	2529.12
22543,	2519.36
22542,	2510.06
22541,	2507.04
22540,	2496.84
22539,	2496.66
22538,	2502.22
22537,	2500.60
22536,	2508.24
22535,	2506.65
22534,	2503.87
22533,	2500.23
22532,	2495.62
22531,	2498.37
22530,	2496.48
22529,	2488.11
22528,	2461.43
22527,	2465.10
22526,	2465.54
22525,	2457.85
22524,	2476.55
22523,	2471.65
22522,	2457.59
22521,	2446.30
22520,	2444.24
22519,	2443.05
22518,	2438.97
22517,	2444.04
22516,	2452.51
22515,	2428.37
22514,	2425.55
22513,	2430.01
22512,	2468.11
22511,	2464.61
22510,	2465.84
22509,	2441.32
22508,	2438.21
22507,	2474.02
22506,	2474.92
22505,	2480.91
22504,	2476.83
22503,	2472.16
22502,	2477.57
22501,	2476.35
22500,	2470.30
22499,	2472.10
22498,	2475.42
22497,	2477.83
22496,	2477.13
22495,	2469.91
22494,	2472.54
22493,	2473.45
22492,	2473.83
22491,	2460.61
22490,	2459.14
22489,	2459.27
22488,	2447.83
22487,	2443.25
22486,	2425.53
22485,	2427.43
22484,	2425.18
22483,	2409.75
22482,	2432.54
22481,	2429.01
22480,	2423.41
22479,	2419.70
22478,	2440.69
22477,	2419.38
22476,	2439.07
22475,	2438.30
22474,	2434.50
22473,	2435.61
22472,	2437.03
22471,	2453.46
22470,	2433.15
22469,	2432.46
22468,	2437.92
22467,	2440.35
22466,	2429.39
22465,	2431.77
22464,	2433.79
22463,	2433.14
22462,	2429.33
22461,	2436.10
22460,	2439.07
22459,	2430.06
22458,	2411.80
22457,	2412.91
22456,	2415.82
22455,	2415.07
22454,	2404.39
22453,	2398.42
22452,	2394.02
22451,	2381.73
22450,	2365.72
22449,	2357.03
22448,	2400.67
22447,	2402.32
22446,	2390.90
22445,	2394.44
22444,	2399.63
22443,	2396.92
22442,	2399.38
22441,	2399.29
22440,	2389.52
22439,	2388.13
22438,	2391.17
22437,	2388.33
22436,	2384.20
22435,	2388.77
22434,	2387.45
22433,	2388.61
22432,	2374.15
22431,	2348.69
22430,	2355.84
22429,	2338.17
22428,	2342.19
22427,	2349.01
22426,	2328.95
22425,	2344.93
22424,	2353.78
22423,	2357.16
22422,	2355.54
22421,	2357.49
22420,	2352.95
22419,	2360.16
22418,	2358.84
22417,	2362.72
22416,	2368.06
22415,	2361.13
22414,	2358.57
22413,	2341.59
22412,	2343.98
22411,	2345.96
22410,	2348.45
22409,	2344.02
22408,	2373.47
22407,	2378.25
22406,	2381.38
22405,	2385.26
22404,	2365.45
22403,	2373.47
22402,	2372.60
22401,	2364.87
22400,	2362.98
22399,	2368.39
22398,	2375.31
22397,	2383.12
22396,	2381.92
22395,	2395.96
22394,	2363.64
22393,	2369.75
22392,	2367.34
22391,	2363.81
22390,	2362.82
22389,	2365.38
22388,	2351.16
22387,	2347.22
22386,	2349.25
22385,	2337.58
22384,	2328.25
22383,	2316.10
22382,	2307.87
22381,	2294.67
22380,	2293.08
22379,	2292.56
22378,	2297.42
22377,	2280.85
22376,	2279.55
22375,	2278.87
22374,	2280.90
22373,	2294.69
22372,	2296.68
22371,	2298.37
22370,	2280.07
22369,	2265.20
22368,	2271.31
22367,	2263.69
22366,	2271.89
22365,	2267.89
22364,	2274.64
22363,	2270.44
22362,	2275.32
22361,	2268.90
22360,	2268.90
22359,	2276.98
22358,	2269.00
22357,	2270.75
22356,	2257.83
22355,	2238.83
22354,	2249.26
22353,	2249.92
22352,	2268.88
22351,	2263.79
22350,	2260.96
22349,	2265.18
22348,	2270.76
22347,	2262.53
22346,	2258.07
22345,	2262.03
22344,	2253.28
22343,	2271.72
22342,	2256.96
22341,	2259.53
22340,	2246.19
22339,	2241.35
22338,	2212.23
22337,	2204.71
22336,	2191.95
22335,	2191.08
22334,	2198.81
22333,	2204.66
22332,	2201.72
22331,	2213.35
22330,	2204.72
22329,	2202.94
22328,	2198.18
22327,	2181.90
22326,	2187.12
22325,	2176.94
22324,	2180.39
22323,	2164.20
22322,	2164.45
22321,	2167.48
22320,	2163.26
22319,	2139.56
22318,	2131.52
22317,	2085.18
22316,	2088.66
22315,	2097.94
22314,	2111.72
22313,	2126.15
22312,	2126.41
22311,	2133.04
22310,	2139.43
22309,	2143.16
22308,	2151.33
22307,	2141.16
22306,	2141.34
22305,	2144.29
22304,	2139.60
22303,	2126.50
22302,	2132.98
22301,	2132.55
22300,	2139.18
