Days,Open,High,Low,Close,Volume
20073,	1508.6,	1510.63,	1502.66,	1504.66,	3177710000.00
20072,	1484.59,	1508.02,	1482.19,	1507.34,	3568570000.00
20071,	1465.22,	1486.09,	1465.22,	1485.01,	3663660000.00
20070,	1471.34,	1471.34,	1460.66,	1462.79,	3343620000.00
20069,	1479.63,	1481.16,	1470.08,	1472.42,	3323250000.00
20068,	1471.83,	1488.94,	1470.89,	1481.14,	4422200000.00
20067,	1467.41,	1473.81,	1458.36,	1469.72,	3524730000.00
20066,	1432.95,	1471.62,	1432.95,	1469.02,	4508020000.00
20065,	1409.59,	1429.49,	1407.43,	1428.23,	4320720000.00
20064,	1440.74,	1446.09,	1406.1,	1407.22,	3706470000.00
20063,	1417.62,	1440.86,	1417.62,	1440.7,	1612720000.00
20062,	1434.71,	1436.4,	1415.64,	1416.77,	4076230000.00
20061,	1434.51,	1452.64,	1419.28,	1439.7,	4875150000.00
20060,	1456.7,	1456.7,	1430.42,	1433.27,	4119650000.00
20059,	1453.09,	1462.18,	1443.99,	1458.74,	4168870000.00
20058,	1468.04,	1472.67,	1443.49,	1451.15,	3941010000.00
20057,	1483.4,	1492.14,	1466.47,	1470.58,	4031470000.00
20056,	1441.35,	1481.37,	1441.35,	1481.05,	4141310000.00
20055,	1453.66,	1464.94,	1438.53,	1439.18,	4192520000.00
20054,	1467.59,	1474.09,	1448.51,	1453.7,	4587050000.00
20053,	1475.27,	1482.5,	1450.31,	1474.77,	5439720000.00
20052,	1515.46,	1515.46,	1475.04,	1475.62,	4353160000.00
20051,	1505.33,	1520.77,	1499.07,	1520.27,	3879160000.00
20050,	1505.61,	1510.84,	1489.95,	1502.17,	3819330000.00
20049,	1511.07,	1513.15,	1492.53,	1509.65,	4285990000.00
20048,	1545.79,	1545.79,	1506.66,	1508.44,	4241470000.00
20047,	1532.15,	1552.76,	1529.4,	1549.38,	3953070000.00
20046,	1539.42,	1539.42,	1529.55,	1531.02,	3212520000.00
20045,	1536.92,	1544.67,	1536.43,	1540.98,	3124480000.00
20044,	1522.17,	1535.53,	1520.18,	1535.28,	3612120000.00
20043,	1516.15,	1523.24,	1500.46,	1514.4,	4183960000.00
20042,	1516.61,	1517.23,	1489.56,	1515.88,	4003300000.00
20041,	1509.3,	1520.01,	1503.61,	1519.59,	3309120000.00
20040,	1497.79,	1508.06,	1490.4,	1506.33,	3471830000.00
20039,	1540,	1540,	1500.26,	1500.63,	4160970000.00
20038,	1539.29,	1542.79,	1531.76,	1540.08,	3203210000.00
20037,	1544.44,	1550.66,	1526.01,	1541.24,	3638070000.00
20036,	1547.81,	1547.81,	1536.29,	1538.53,	3234560000.00
20035,	1562.25,	1564.74,	1540.81,	1548.71,	3139290000.00
20034,	1555.41,	1563.03,	1554.09,	1561.8,	2788690000.00
20033,	1564.72,	1576.09,	1546.72,	1554.41,	3911260000.00
20032,	1564.98,	1565.42,	1555.46,	1562.47,	3044760000.00
20031,	1553.18,	1565.26,	1551.82,	1565.15,	2932040000.00
20030,	1556.51,	1556.51,	1549,	1552.58,	2040650000.00
20029,	1543.84,	1561.91,	1543.84,	1557.59,	2919030000.00
20028,	1539.91,	1544.02,	1537.63,	1542.84,	2690430000.00
20027,	1545.8,	1545.84,	1536.34,	1539.59,	3065320000.00
20026,	1546.96,	1548.01,	1540.37,	1546.63,	3101910000.00
20025,	1527.29,	1549.02,	1527.25,	1547.04,	3281990000.00
20024,	1531.24,	1533.74,	1521.99,	1526.75,	2925350000.00
20023,	1527.32,	1532.46,	1525.81,	1531.38,	2872180000.00
20022,	1518.62,	1529.39,	1518.62,	1525.42,	3237390000.00
20021,	1516.34,	1518.27,	1507.13,	1517.21,	3187770000.00
20020,	1525.75,	1530.18,	1516.15,	1517.73,	3131310000.00
20019,	1518.75,	1530.89,	1518.75,	1525.75,	3679460000.00
20018,	1528.69,	1529.14,	1516.42,	1518.75,	2957700000.00
20017,	1519.75,	1538.74,	1519.75,	1529.03,	3846750000.00
20016,	1476.63,	1519.89,	1476.63,	1519.78,	3708940000.00
20015,	1484.24,	1484.24,	1471.82,	1476.65,	2598390000.00
20014,	1483.95,	1485.99,	1473.18,	1484.25,	2641740000.00
20013,	1471.47,	1489.58,	1471.47,	1483.95,	2877080000.00
20012,	1471.1,	1479.5,	1465.75,	1471.56,	2885720000.00
20011,	1451.69,	1472.48,	1451.69,	1471.49,	3015330000.00
20010,	1453.5,	1462.25,	1439.29,	1451.7,	2835720000.00
20009,	1478.55,	1478.55,	1449.07,	1453.55,	3191080000.00
20008,	1472.03,	1481.49,	1467.41,	1478.55,	2459590000.00
20007,	1488.76,	1488.76,	1466.34,	1472.29,	2991600000.00
20006,	1473.96,	1496.4,	1472.15,	1489.42,	2766600000.00
20005,	1457.61,	1481.47,	1457.61,	1473.99,	2731610000.00
20004,	1463.67,	1468.43,	1451.25,	1457.64,	2582960000.00
20003,	1432.01,	1463.76,	1432.01,	1463.76,	2824070000.00
20002,	1466.72,	1466.72,	1432.01,	1432.36,	3078090000.00
20001,	1479.36,	1479.36,	1465.98,	1466.79,	2406180000.00
20000,	1462.34,	1479.4,	1460.54,	1479.37,	2541400000.00
19999,	1464.05,	1472.06,	1453.88,	1462.5,	3084390000.00
19998,	1447.03,	1464.86,	1447.03,	1464.07,	3309120000.00
19997,	1445.55,	1455.32,	1439.76,	1447.12,	3012150000.00
19996,	1445.94,	1451.75,	1430.54,	1445.55,	3321340000.00
19995,	1411.26,	1450.33,	1411.26,	1445.94,	3570040000.00
19994,	1406.64,	1415.97,	1370.6,	1411.27,	6509300000.00
19993,	1426.15,	1440.78,	1404.36,	1406.7,	4290930000.00
19992,	1452.87,	1456.74,	1426.2,	1426.54,	3814630000.00
19991,	1453.42,	1466.29,	1451.54,	1452.92,	3696280000.00
19990,	1453.09,	1462.02,	1429.74,	1453.64,	5345780000.00
19989,	1497.21,	1497.21,	1453.09,	1453.09,	5889600000.00
19988,	1476.22,	1503.89,	1476.22,	1497.49,	5499560000.00
19987,	1467.62,	1488.3,	1455.8,	1476.71,	4909390000.00
19986,	1433.04,	1467.67,	1427.39,	1467.67,	5067200000.00
19985,	1472.18,	1473.23,	1432.8,	1433.06,	4272110000.00
19984,	1465.46,	1476.43,	1460.58,	1472.2,	4368850000.00
19983,	1455.18,	1468.38,	1439.59,	1465.81,	5256780000.00
19982,	1473.9,	1488.3,	1454.25,	1455.27,	4524520000.00
19981,	1458.93,	1477.88,	1454.32,	1473.91,	4128780000.00
19980,	1482.44,	1488.53,	1458.95,	1458.95,	4784650000.00
19979,	1518.09,	1518.09,	1465.3,	1482.66,	4472550000.00
19978,	1511.03,	1524.31,	1503.73,	1518.09,	4283200000.00
19977,	1541.57,	1541.57,	1508.62,	1511.04,	4115830000.00
19976,	1534.06,	1547.23,	1534.06,	1541.57,	3102700000.00
19975,	1553.19,	1553.19,	1529.2,	1534.1,	3745780000.00
19974,	1546.13,	1555.2,	1546.13,	1553.08,	3251450000.00
19973,	1549.2,	1549.2,	1533.67,	1546.17,	3609220000.00
19972,	1549.52,	1555.32,	1547.74,	1549.37,	3007140000.00
19971,	1552.5,	1555.9,	1546.69,	1549.52,	2704110000.00
19970,	1547.68,	1555.1,	1544.85,	1552.5,	2801120000.00
19969,	1518.74,	1547.92,	1518.74,	1547.7,	3489600000.00
19968,	1509.93,	1519.34,	1506.1,	1518.76,	3082920000.00
19967,	1531.85,	1531.85,	1510.01,	1510.12,	3244280000.00
19966,	1530.43,	1534.26,	1527.45,	1531.85,	2715330000.00
19965,	1524.96,	1532.4,	1520.47,	1530.44,	2441520000.00
19964,	1524.86,	1526.57,	1517.72,	1525.4,	2622950000.00
19963,	1519.12,	1526.01,	1519.12,	1524.87,	1560790000.00
19962,	1504.66,	1519.45,	1504.66,	1519.43,	2648990000.00
19961,	1505.7,	1517.53,	1493.61,	1503.35,	3165410000.00
19960,	1506.32,	1514.84,	1503.41,	1505.71,	3006710000.00
19959,	1492.62,	1506.8,	1484.18,	1506.34,	3398150000.00
19958,	1497.68,	1506.12,	1490.54,	1492.89,	3398530000.00
19957,	1502.56,	1514.29,	1492.68,	1497.74,	3287250000.00
19956,	1522.19,	1522.19,	1500.74,	1502.56,	4284320000.00
19955,	1512.5,	1522.9,	1504.75,	1522.19,	3161110000.00
19954,	1533.68,	1537.32,	1512.36,	1512.84,	3286900000.00
19953,	1531.02,	1535.85,	1525.67,	1533.7,	2873590000.00
19952,	1532.9,	1535.44,	1529.31,	1531.05,	2480240000.00
19951,	1522.97,	1538.71,	1522.97,	1532.91,	3406030000.00
19950,	1515.58,	1526.45,	1515.58,	1522.97,	2813630000.00
19949,	1492.65,	1515.7,	1492.65,	1515.67,	3077930000.00
19948,	1509.12,	1511.33,	1492.97,	1493,	3056200000.00
19947,	1507.64,	1515.53,	1503.35,	1509.12,	2525280000.00
19946,	1490.71,	1507.76,	1487.41,	1507.67,	2993460000.00
19945,	1517.36,	1517.36,	1490.37,	1490.72,	3538470000.00
19944,	1530.57,	1530.57,	1514.13,	1517.38,	2964190000.00
19943,	1539.12,	1539.12,	1525.62,	1530.95,	2939450000.00
19942,	1536.28,	1540.53,	1532.31,	1539.18,	2738930000.00
19941,	1530.62,	1540.56,	1530.62,	1536.34,	2927020000.00
19940,	1530.19,	1535.56,	1528.26,	1530.62,	3335530000.00
19939,	1517.6,	1530.23,	1510.06,	1530.23,	2980210000.00
19938,	1515.55,	1521.8,	1512.02,	1518.11,	2571790000.00
19937,	1507.5,	1517.41,	1507.5,	1515.73,	2316250000.00
19936,	1522.1,	1529.31,	1505.18,	1507.51,	3365530000.00
19935,	1524.09,	1532.43,	1521.9,	1522.28,	3084260000.00
19934,	1525.1,	1529.24,	1522.05,	1524.12,	2860500000.00
19933,	1522.75,	1529.87,	1522.71,	1525.1,	3465360000.00
19932,	1512.74,	1522.75,	1512.74,	1522.75,	2959050000.00
19931,	1514.01,	1517.14,	1509.29,	1512.75,	2868640000.00
19930,	1500.75,	1514.15,	1500.75,	1514.14,	2915350000.00
19929,	1503.11,	1514.83,	1500.43,	1501.19,	3071020000.00
19928,	1505.76,	1510.9,	1498.34,	1503.15,	2776130000.00
19927,	1491.47,	1506.24,	1491.47,	1505.85,	2720780000.00
19926,	1512.33,	1512.33,	1491.42,	1491.47,	3031240000.00
19925,	1507.32,	1513.8,	1503.77,	1512.58,	2935550000.00
19924,	1509.36,	1509.36,	1500.66,	1507.72,	2795720000.00
19923,	1505.57,	1511,	1505.54,	1509.48,	2545090000.00
19922,	1502.35,	1510.34,	1501.8,	1505.62,	2761930000.00
19921,	1495.56,	1503.34,	1495.56,	1502.39,	3007970000.00
19920,	1486.13,	1499.1,	1486.13,	1495.92,	3189800000.00
19919,	1482.37,	1487.27,	1476.7,	1486.3,	3400350000.00
19918,	1494.07,	1497.16,	1482.29,	1482.37,	3093420000.00
19917,	1494.21,	1497.32,	1488.67,	1494.07,	2732810000.00
19916,	1495.27,	1498.02,	1491.17,	1494.25,	3211800000.00
19915,	1480.28,	1496.59,	1480.28,	1495.42,	3252590000.00
19914,	1480.93,	1483.82,	1473.74,	1480.41,	3119750000.00
19913,	1484.33,	1487.32,	1480.19,	1480.93,	2575020000.00
19912,	1470.69,	1484.74,	1470.69,	1484.35,	3329940000.00
19911,	1472.48,	1474.23,	1464.47,	1470.73,	2913610000.00
19910,	1471.47,	1476.57,	1466.41,	1472.5,	2971330000.00
19909,	1468.47,	1474.35,	1467.15,	1471.48,	2920570000.00
19908,	1452.84,	1468.62,	1452.84,	1468.33,	2870140000.00
19907,	1447.8,	1453.11,	1444.15,	1452.85,	2690020000.00
